Case,<C_D>,<C_D>_rdiff,rms(C_D),rms(C_D)_rdiff,<C_L>,<C_L>_rdiff,rms(C_L),rms(C_L)_rdiff
Base case,0.885,0.0,0.892,0.0,1.085,0.0,1.18,0.0
Finer in time,0.884,-0.1,0.891,-0.1,1.084,-0.1,1.179,-0.1
Finer in space,0.886,0.1,0.893,0.1,1.102,1.6,1.194,1.2
Coarser in space,0.842,-4.9,0.849,-4.8,1.054,-2.9,1.146,-2.9
Extended domain,0.872,-1.5,0.879,-1.5,1.071,-1.3,1.164,-1.4
Extended uniform region,0.885,0.0,0.892,0.0,1.085,0.0,1.18,0.0
